POSTNR,HEITI_NF,HEITI_TGF
101,Bergstaðastræti 75,Bergstaðastræti 75
101,Bergstaðastræti 76,Bergstaðastræti 76
101,Bergstaðastræti 77,Bergstaðastræti 77
101,Bergstaðastræti 78,Bergstaðastræti 78
101,Bergstaðastræti 79,Bergstaðastræti 79
101,Bergstaðastræti 8,Bergstaðastræti 8
101,Bergstaðastræti 80,Bergstaðastræti 80
101,Bergstaðastræti 81,Bergstaðastræti 81
101,Bergstaðastræti 82,Bergstaðastræti 82
101,Bergstaðastræti 83,Bergstaðastræti 83
101,Bergstaðastræti 84,Bergstaðastræti 84
101,Bergstaðastræti 86,Bergstaðastræti 86
101,Bergstaðastræti 9A,Bergstaðastræti 9A
101,Bergstaðastræti 9B,Bergstaðastræti 9B
101,Bergþórugata 1,Bergþórugötu 1
101,Bergþórugata 10,Bergþórugötu 10
101,Bergþórugata 11,Bergþórugötu 11
101,Bergþórugata 11A,Bergþórugötu 11A
101,Bergþórugata 13,Bergþórugötu 13
101,Bergþórugata 14,Bergþórugötu 14
101,Bergþórugata 14A,Bergþórugötu 14A
101,Bergþórugata 15,Bergþórugötu 15
101,Bergþórugata 15A,Bergþórugötu 15A
101,Bergþórugata 16,Bergþórugötu 16
101,Bergþórugata 16A,Bergþórugötu 16A
101,Bergþórugata 17,Bergþórugötu 17
101,Bergþórugata 18,Bergþórugötu 18
101,Bergþórugata 19,Bergþórugötu 19
101,Bergþórugata 2,Bergþórugötu 2
101,Bergþórugata 20,Bergþórugötu 20
101,Bergþórugata 21,Bergþórugötu 21
101,Bergþórugata 23,Bergþórugötu 23
101,Bergþórugata 25,Bergþórugötu 25
101,Bergþórugata 27,Bergþórugötu 27
101,Bergþórugata 29,Bergþórugötu 29
101,Bergþórugata 3,Bergþórugötu 3
101,Bergþórugata 31,Bergþórugötu 31
101,Bergþórugata 33,Bergþórugötu 33
101,Bergþórugata 35,Bergþórugötu 35
101,Bergþórugata 37,Bergþórugötu 37
101,Bergþórugata 4,Bergþórugötu 4
101,Bergþórugata 41,Bergþórugötu 41
101,Bergþórugata 43,Bergþórugötu 43
101,Bergþórugata 45A,Bergþórugötu 45A
101,Bergþórugata 45B,Bergþórugötu 45B
101,Bergþórugata 5,Bergþórugötu 5
101,Bergþórugata 51,Bergþórugötu 51
101,Bergþórugata 53,Bergþórugötu 53
101,Bergþórugata 55,Bergþórugötu 55
101,Bergþórugata 57,Bergþórugötu 57
101,Bergþórugata 59,Bergþórugötu 59
101,Bergþórugata 6,Bergþórugötu 6
101,Bergþórugata 61,Bergþórugötu 61
101,Bergþórugata 6A,Bergþórugötu 6A
101,Bergþórugata 6B,Bergþórugötu 6B
101,Bergþórugata 7,Bergþórugötu 7
