UTGDAG,SVFN,POSTNR,KAUPVERD,EINFLM,FERMETRAVERD,TEGUND
2006-05,1400,220,31250000,"150,6",207503,Fjölbýli
2006-05,0,110,20600000,"91,0",226374,Fjölbýli
2006-05,0,105,37000000,"225,7",163934,Fjölbýli
2006-05,0,104,22500000,"130,1",172944,Fjölbýli
2006-05,1000,203,26900000,"114,8",234321,Fjölbýli
2006-05,2000,260,18500000,"106,1",174364,Fjölbýli
2006-05,2000,260,18500000,"106,1",174364,Fjölbýli
2006-05,2510,245,11000000,"84,2",130641,Fjölbýli
2006-05,1400,220,13300000,"58,2",228522,Fjölbýli
2006-05,1000,203,23600000,"96,3",245067,Fjölbýli
2006-05,1000,201,19500000,"82,0",237805,Fjölbýli
2006-05,6000,600,33000000,"191,1",172684,Einbýli
2006-05,1000,201,25000000,"104,1",240154,Fjölbýli
2006-05,1000,201,20000000,"98,5",203046,Fjölbýli
2006-05,1000,200,29200000,"116,7",250214,Einbýli
2006-04,1000,200,15900000,"90,0",176667,Fjölbýli
2006-05,1000,200,21500000,"103,8",207129,Fjölbýli
2006-05,1400,220,17000000,"100,1",169830,Fjölbýli
2006-05,1400,221,14900000,"71,8",207521,Fjölbýli
2006-05,0,112,29800000,"155,4",191763,Fjölbýli
2006-05,0,112,18900000,"88,7",213078,Fjölbýli
2006-04,3000,300,31500000,"166,8",188849,Einbýli
2006-05,2300,240,22700000,"171,3",132516,Sérbýli
2006-05,0,112,15250000,"67,3",226597,Fjölbýli
2006-05,0,104,17200000,"93,3",184352,Fjölbýli
2006-04,0,107,19200000,"88,3",217441,Fjölbýli
2006-05,6000,600,19000000,"188,4",100849,Fjölbýli
2006-05,1300,210,14800000,"70,3",210526,Fjölbýli
2006-05,0,110,27500000,"134,2",204918,Fjölbýli
2006-04,6000,603,17000000,"87,8",193622,Fjölbýli
2006-05,1400,220,35500000,"187,9",188930,Fjölbýli
2006-05,1300,225,25700000,"116,8",220034,Fjölbýli
2006-05,0,105,12900000,"46,1",279826,Fjölbýli
2006-05,1400,220,16500000,"88,2",187075,Fjölbýli
2006-05,1300,225,53400000,"214,5",248951,Einbýli
2006-05,1400,221,21400000,"99,2",215726,Fjölbýli
2006-05,1300,210,49000000,"180,6",271318,Einbýli
2006-05,0,109,11800000,"71,6",164804,Fjölbýli
2006-05,1000,200,18800000,"87,9",213879,Fjölbýli
2006-05,0,111,21300000,"115,1",185056,Fjölbýli
2006-05,1400,221,18900000,"93,8",201493,Fjölbýli
2006-05,0,109,21750000,"109,8",198087,Fjölbýli
2006-05,1604,270,34500000,"140,4",245726,Sérbýli
2006-05,1000,200,13750000,"63,5",216535,Fjölbýli
2006-05,7300,755,8500000,"180,0",47222,Einbýli
2006-05,7300,740,12500000,"360,8",34645,Einbýli
2006-05,1000,201,24250000,"88,9",272778,Fjölbýli
2006-05,1000,200,32000000,"102,7",311587,Fjölbýli
2006-05,1000,200,10800000,"37,4",288770,Fjölbýli
2006-05,1000,200,17700000,"85,7",206534,Fjölbýli
2006-05,1000,200,13200000,"63,0",209524,Fjölbýli
2006-05,1000,201,21500000,"96,5",222798,Fjölbýli
2006-05,1000,203,28500000,"125,3",227454,Fjölbýli
2006-05,1000,203,24100000,"97,5",247179,Fjölbýli
2006-05,1000,200,15200000,"87,0",174713,Fjölbýli
2006-05,2000,260,32000000,"199,3",160562,Einbýli
2006-05,0,101,42200000,"131,1",321892,Fjölbýli
2006-05,0,105,35000000,"137,0",255474,Fjölbýli
2006-05,0,107,27500000,"93,6",293803,Fjölbýli
2006-05,0,107,24500000,"109,0",224771,Fjölbýli
2006-05,0,105,12300000,"56,5",217699,Fjölbýli
2006-05,6000,600,8800000,"76,1",115637,Fjölbýli
2006-05,0,108,20000000,"94,0",212766,Fjölbýli
2006-05,0,108,15300000,"67,6",226331,Fjölbýli
2006-05,0,107,35300000,"142,5",247719,Fjölbýli
2006-05,1300,210,32800000,"124,6",263242,Sérbýli
2006-05,0,105,16700000,"78,6",212468,Fjölbýli
2006-05,5508,531,12800000,"161,2",79404,Einbýli
2006-05,2000,230,19300000,"151,0",127815,Fjölbýli
2006-05,1400,221,18000000,"88,1",204313,Fjölbýli
2006-05,0,112,26400000,"133,7",197457,Fjölbýli
2006-05,0,111,15000000,"82,4",182039,Fjölbýli
2006-05,0,105,12600000,"52,7",239089,Fjölbýli
2006-05,0,108,19600000,"109,3",179323,Fjölbýli
2006-03,6000,600,7000000,"31,6",221519,Fjölbýli
2006-05,2000,260,22500000,"142,9",157453,Sérbýli
2006-05,1400,220,33700000,"125,7",268099,Fjölbýli
2006-05,1000,200,43000000,"217,1",198065,Fjölbýli
2006-05,0,107,21000000,"111,4",188510,Fjölbýli
2006-05,1000,200,16300000,"71,1",229255,Fjölbýli
2006-05,0,108,25700000,"109,3",235133,Sérbýli
2006-05,4200,400,18000000,"190,0",94737,Fjölbýli
2006-05,1400,220,30500000,"154,0",198052,Einbýli
2006-05,8401,780,5800000,"80,4",72139,Fjölbýli
2006-05,0,105,21700000,"91,7",236641,Fjölbýli
2006-05,1000,200,41150000,"178,5",230532,Einbýli
2006-05,0,105,13000000,"75,9",171278,Fjölbýli
2006-05,2000,230,10000000,"71,0",140845,Fjölbýli
2006-05,1400,220,17100000,"97,7",175026,Fjölbýli
2006-05,1000,201,20000000,"93,8",213220,Fjölbýli
2006-05,1400,220,19700000,"115,6",170415,Fjölbýli
2006-05,1300,210,28000000,"125,7",222753,Fjölbýli
2006-05,8000,900,5200000,"96,8",53719,Fjölbýli
2006-05,8000,900,9000000,"128,2",70203,Einbýli
2006-05,8000,900,3300000,"84,2",39192,Fjölbýli
2006-05,8000,900,4400000,"71,7",61367,Fjölbýli
2006-05,0,103,24800000,"94,6",262156,Fjölbýli
2006-05,0,112,17500000,"116,0",150862,Fjölbýli
2006-05,0,112,52500000,"195,5",268542,Einbýli
2006-05,6000,600,10650000,"122,7",86797,Sérbýli
