season,position,,team,played,won,drawn,lost,goals,goal difference,points,goals for,goals against,points per game,last result,form,gf,ga,games scored in,clean sheets
1992-1993,18.0,,Manchester United,1,0,0,1,1:2,-1,0,1,2,0.0,L,L,1,1,1,0
1992-1993,22.0,,Manchester United,2,0,0,2,1:5,-4,0,1,5,0.0,L,L-L,0,1,1,0
1992-1993,21.0,,Manchester United,3,0,1,2,2:6,-4,1,2,6,0.33,D,L-L-D,1,1,2,0
1992-1993,17.0,,Manchester United,4,1,1,2,3:6,-3,4,3,6,1.0,W,L-L-D-W,1,0,3,1
1992-1993,9.0,,Manchester United,5,2,1,2,5:6,-1,7,5,6,1.4,W,L-L-D-W-W,1,0,4,2
1992-1993,7.0,,Manchester United,6,3,1,2,6:6,0,10,6,6,1.67,W,L-D-W-W-W,1,0,5,3
1992-1993,4.0,,Manchester United,7,4,1,2,8:6,2,13,8,6,1.86,W,D-W-W-W-W,1,0,6,4
1992-1993,4.0,,Manchester United,8,5,1,2,10:6,4,16,10,6,2.0,W,W-W-W-W-W,1,0,7,5
1992-1993,4.0,,Manchester United,9,5,2,2,11:7,4,17,11,7,1.89,D,W-W-W-W-D,1,1,8,5
1992-1993,4.0,,Manchester United,10,5,3,2,11:7,4,18,11,7,1.8,D,W-W-W-D-D,0,0,8,6
1992-1993,6.0,,Manchester United,11,5,4,2,12:8,4,19,12,8,1.73,D,W-W-D-D-D,1,1,9,6
1992-1993,6.0,,Manchester United,12,5,5,2,14:10,4,20,14,10,1.67,D,W-D-D-D-D,1,1,10,6
1992-1993,7.0,,Manchester United,13,5,6,2,14:10,4,21,14,10,1.62,D,D-D-D-D-D,0,0,10,7
1992-1993,7.0,,Manchester United,14,5,6,3,14:11,3,21,14,11,1.5,L,D-D-D-D-L,0,1,10,7
1992-1993,10.0,,Manchester United,15,5,6,4,14:12,2,21,14,12,1.4,L,D-D-D-L-L,0,1,10,7
1992-1993,8.0,,Manchester United,16,6,6,4,17:12,5,24,17,12,1.5,W,D-D-L-L-W,1,0,11,8
1992-1993,6.0,,Manchester United,17,7,6,4,18:12,6,27,18,12,1.59,W,D-L-L-W-W,1,0,12,9
1992-1993,5.0,,Manchester United,18,8,6,4,20:13,7,30,20,13,1.67,W,L-L-W-W-W,1,1,13,9
1992-1993,3.0,,Manchester United,19,9,6,4,21:13,8,33,21,13,1.74,W,L-W-W-W-W,1,0,14,10
1992-1993,4.0,,Manchester United,20,9,7,4,22:14,8,34,22,14,1.7,D,W-W-W-W-D,1,1,15,10
1992-1993,3.0,,Manchester United,21,9,8,4,25:17,8,35,25,17,1.67,D,W-W-W-D-D,1,1,16,10
1992-1993,2.0,,Manchester United,22,10,8,4,30:17,13,38,30,17,1.73,W,W-W-D-D-W,1,0,17,11
1992-1993,1.0,,Manchester United,23,11,8,4,34:18,16,41,34,18,1.78,W,W-D-D-W-W,1,1,18,11
1992-1993,1.0,,Manchester United,24,12,8,4,37:19,18,44,37,19,1.83,W,D-D-W-W-W,1,1,19,11
1992-1993,1.0,,Manchester United,25,13,8,4,39:19,20,47,39,19,1.88,W,D-W-W-W-W,1,0,20,12
1992-1993,2.0,,Manchester United,26,13,8,5,40:21,19,47,40,21,1.81,L,W-W-W-W-L,1,1,21,12
1992-1993,1.0,,Manchester United,27,14,8,5,42:22,20,50,42,22,1.85,W,W-W-W-L-W,1,1,22,12
1992-1993,1.0,,Manchester United,28,14,9,5,42:22,20,51,42,22,1.82,D,W-W-L-W-D,0,0,22,13
1992-1993,1.0,,Manchester United,29,15,9,5,44:22,22,54,44,22,1.86,W,W-L-W-D-W,1,0,23,14
1992-1993,1.0,,Manchester United,30,16,9,5,46:23,23,57,46,23,1.9,W,L-W-D-W-W,1,1,24,14
1992-1993,1.0,,Manchester United,31,17,9,5,49:23,26,60,49,23,1.94,W,W-D-W-W-W,1,0,25,15
1992-1993,1.0,,Manchester United,32,17,9,6,49:24,25,60,49,24,1.88,L,D-W-W-W-L,0,1,25,15
1992-1993,1.0,,Manchester United,33,18,9,6,51:25,26,63,51,25,1.91,W,W-W-W-L-W,1,1,26,15
1992-1993,1.0,,Manchester United,34,18,10,6,52:26,26,64,52,26,1.88,D,W-W-L-W-D,1,1,27,15
1992-1993,1.0,,Manchester United,35,18,11,6,53:27,26,65,53,27,1.86,D,W-L-W-D-D,1,1,28,15
1992-1993,1.0,,Manchester United,36,18,12,6,53:27,26,66,53,27,1.83,D,L-W-D-D-D,0,0,28,16
1992-1993,1.0,,Manchester United,37,19,12,6,56:28,28,69,56,28,1.86,W,W-D-D-D-W,1,1,29,16
1992-1993,1.0,,Manchester United,38,20,12,6,58:29,29,72,58,29,1.89,W,D-D-D-W-W,1,1,30,16
1992-1993,1.0,,Manchester United,39,21,12,6,59:29,30,75,59,29,1.92,W,D-D-W-W-W,1,0,31,17
1992-1993,1.0,,Manchester United,40,22,12,6,62:29,33,78,62,29,1.95,W,D-W-W-W-W,1,0,32,18
1992-1993,1.0,,Manchester United,41,23,12,6,65:30,35,81,65,30,1.98,W,W-W-W-W-W,1,1,33,18
1992-1993,1.0,,Manchester United,42,24,12,6,67:31,36,84,67,31,2.0,W,W-W-W-W-W,1,1,34,18
1993-1994,nan,,Manchester United,1,1,0,0,2:0,2,3,2,0,3.0,W,W,1,0,1,1
1993-1994,1.0,,Manchester United,2,2,0,0,5:0,5,6,5,0,3.0,W,W-W,1,0,2,2
1993-1994,4.0,,Manchester United,3,2,1,0,6:1,5,7,6,1,2.33,D,W-W-D,1,1,3,2
1993-1994,1.0,,Manchester United,4,3,1,0,8:2,6,10,8,2,2.5,W,W-W-D-W,1,1,4,2
1993-1994,1.0,,Manchester United,5,4,1,0,11:3,8,13,11,3,2.6,W,W-W-D-W-W,1,1,5,2
1993-1994,1.0,,Manchester United,6,5,1,0,14:3,11,16,14,3,2.67,W,W-D-W-W-W,1,0,6,3
1993-1994,1.0,,Manchester United,7,5,1,1,14:4,10,16,14,4,2.29,L,D-W-W-W-L,0,1,6,3
1993-1994,1.0,,Manchester United,8,6,1,1,15:4,11,19,15,4,2.38,W,W-W-W-L-W,1,0,7,4
1993-1994,1.0,,Manchester United,9,7,1,1,19:6,13,22,19,6,2.44,W,W-W-L-W-W,1,1,8,4
1993-1994,1.0,,Manchester United,10,8,1,1,22:8,14,25,22,8,2.5,W,W-L-W-W-W,1,1,9,4
1993-1994,1.0,,Manchester United,11,9,1,1,24:9,15,28,24,9,2.55,W,L-W-W-W-W,1,1,10,4
1993-1994,1.0,,Manchester United,12,10,1,1,25:9,16,31,25,9,2.58,W,W-W-W-W-W,1,0,11,5
1993-1994,1.0,,Manchester United,13,11,1,1,27:10,17,34,27,10,2.62,W,W-W-W-W-W,1,1,12,5
1993-1994,1.0,,Manchester United,14,12,1,1,30:12,18,37,30,12,2.64,W,W-W-W-W-W,1,1,13,5
1993-1994,1.0,,Manchester United,15,13,1,1,33:13,20,40,33,13,2.67,W,W-W-W-W-W,1,1,14,5
1993-1994,1.0,,Manchester United,16,13,2,1,33:13,20,41,33,13,2.56,D,W-W-W-W-D,0,0,14,6
1993-1994,1.0,,Manchester United,17,14,2,1,34:13,21,44,34,13,2.59,W,W-W-W-D-W,1,0,15,7
1993-1994,1.0,,Manchester United,18,14,3,1,36:15,21,45,36,15,2.5,D,W-W-D-W-D,1,1,16,7
1993-1994,1.0,,Manchester United,19,15,3,1,39:15,24,48,39,15,2.53,W,W-D-W-D-W,1,0,17,8
1993-1994,1.0,,Manchester United,20,15,4,1,40:16,24,49,40,16,2.45,D,D-W-D-W-D,1,1,18,8
1993-1994,1.0,,Manchester United,21,16,4,1,43:17,26,52,43,17,2.48,W,W-D-W-D-W,1,1,19,8
1993-1994,1.0,,Manchester United,22,16,5,1,44:18,26,53,44,18,2.41,D,D-W-D-W-D,1,1,20,8
1993-1994,1.0,,Manchester United,23,17,5,1,49:20,29,56,49,20,2.43,W,W-D-W-D-W,1,1,21,8
1993-1994,1.0,,Manchester United,24,17,6,1,49:20,29,57,49,20,2.38,D,D-W-D-W-D,0,0,21,9
1993-1994,1.0,,Manchester United,25,17,7,1,52:23,29,58,52,23,2.32,D,W-D-W-D-D,1,1,22,9
1993-1994,1.0,,Manchester United,26,18,7,1,53:23,30,61,53,23,2.35,W,D-W-D-D-W,1,0,23,10
1993-1994,1.0,,Manchester United,27,19,7,1,54:23,31,64,54,23,2.37,W,W-D-D-W-W,1,0,24,11
1993-1994,1.0,,Manchester United,28,20,7,1,55:23,32,67,55,23,2.39,W,D-D-W-W-W,1,0,25,12
1993-1994,1.0,,Manchester United,29,21,7,1,58:25,33,70,58,25,2.41,W,D-W-W-W-W,1,1,26,12
1993-1994,1.0,,Manchester United,30,22,7,1,60:25,35,73,60,25,2.43,W,W-W-W-W-W,1,0,27,13
1993-1994,1.0,,Manchester United,31,22,8,1,62:27,35,74,62,27,2.39,D,W-W-W-W-D,1,1,28,13
1993-1994,1.0,,Manchester United,32,22,8,2,62:28,34,74,62,28,2.31,L,W-W-W-D-L,0,1,28,13
1993-1994,1.0,,Manchester United,33,22,9,2,64:30,34,75,64,30,2.27,D,W-W-D-L-D,1,1,29,13
1993-1994,1.0,,Manchester United,34,22,10,2,66:32,34,76,66,32,2.24,D,W-D-L-D-D,1,1,30,13
1993-1994,1.0,,Manchester United,35,23,10,2,71:32,39,79,71,32,2.26,W,D-L-D-D-W,1,0,31,14
1993-1994,1.0,,Manchester United,36,23,10,3,71:34,37,79,71,34,2.19,L,L-D-D-W-L,0,1,31,14
1993-1994,1.0,,Manchester United,37,24,10,3,74:36,38,82,74,36,2.22,W,D-D-W-L-W,1,1,32,14
1993-1994,1.0,,Manchester United,38,25,10,3,76:36,40,85,76,36,2.24,W,D-W-L-W-W,1,0,33,15
1993-1994,1.0,,Manchester United,39,25,10,4,76:37,39,85,76,37,2.18,L,W-L-W-W-L,0,1,33,15
1993-1994,1.0,,Manchester United,40,26,10,4,78:37,41,88,78,37,2.2,W,L-W-W-L-W,1,0,34,16
1993-1994,1.0,,Manchester United,41,27,10,4,80:38,42,91,80,38,2.22,W,W-W-L-W-W,1,1,35,16
1993-1994,1.0,,Manchester United,42,27,11,4,80:38,42,92,80,38,2.19,D,W-L-W-W-D,0,0,35,17
1994-1995,nan,,Manchester United,1,1,0,0,2:0,2,3,2,0,3.0,W,W,1,0,1,1
1994-1995,5.0,,Manchester United,2,1,1,0,3:1,2,4,3,1,2.0,D,W-D,1,1,2,1
1994-1995,4.0,,Manchester United,3,2,1,0,4:1,3,7,4,1,2.33,W,W-D-W,1,0,3,2
1994-1995,3.0,,Manchester United,4,3,1,0,7:1,6,10,7,1,2.5,W,W-D-W-W,1,0,4,3
1994-1995,5.0,,Manchester United,5,3,1,1,8:3,5,10,8,3,2.0,L,W-D-W-W-L,1,1,5,3
1994-1995,5.0,,Manchester United,6,4,1,1,10:3,7,13,10,3,2.17,W,D-W-W-L-W,1,0,6,4
1994-1995,5.0,,Manchester United,7,4,1,2,12:6,6,13,12,6,1.86,L,W-W-L-W-L,1,1,7,4
1994-1995,5.0,,Manchester United,8,5,1,2,14:6,8,16,14,6,2.0,W,W-L-W-L-W,1,0,8,5
1994-1995,5.0,,Manchester United,9,5,1,3,14:7,7,16,14,7,1.78,L,L-W-L-W-L,0,1,8,5
1994-1995,5.0,,Manchester United,10,6,1,3,15:7,8,19,15,7,1.9,W,W-L-W-L-W,1,0,9,6
1994-1995,4.0,,Manchester United,11,7,1,3,19:9,10,22,19,9,2.0,W,L-W-L-W-W,1,1,10,6
1994-1995,4.0,,Manchester United,12,8,1,3,21:9,12,25,21,9,2.08,W,W-L-W-W-W,1,0,11,7
1994-1995,2.0,,Manchester United,13,9,1,3,26:9,17,28,26,9,2.15,W,L-W-W-W-W,1,0,12,8
1994-1995,2.0,,Manchester United,14,10,1,3,28:10,18,31,28,10,2.21,W,W-W-W-W-W,1,1,13,8
1994-1995,1.0,,Manchester United,15,11,1,3,31:10,21,34,31,10,2.27,W,W-W-W-W-W,1,0,14,9
1994-1995,2.0,,Manchester United,16,11,2,3,31:10,21,35,31,10,2.19,D,W-W-W-W-D,0,0,14,10
1994-1995,2.0,,Manchester United,17,12,2,3,32:10,22,38,32,10,2.24,W,W-W-W-D-W,1,0,15,11
1994-1995,2.0,,Manchester United,18,13,2,3,35:12,23,41,35,12,2.28,W,W-W-D-W-W,1,1,16,11
1994-1995,2.0,,Manchester United,19,13,2,4,36:14,22,41,36,14,2.16,L,W-D-W-W-L,1,1,17,11
1994-1995,2.0,,Manchester United,20,14,2,4,39:16,23,44,39,16,2.2,W,D-W-W-L-W,1,1,18,11
1994-1995,2.0,,Manchester United,21,14,3,4,40:17,23,45,40,17,2.14,D,W-W-L-W-D,1,1,19,11
1994-1995,2.0,,Manchester United,22,14,4,4,42:19,23,46,42,19,2.09,D,W-L-W-D-D,1,1,20,11
1994-1995,2.0,,Manchester United,23,15,4,4,44:19,25,49,44,19,2.13,W,L-W-D-D-W,1,0,21,12
1994-1995,2.0,,Manchester United,24,15,5,4,45:20,25,50,45,20,2.08,D,W-D-D-W-D,1,1,22,12
1994-1995,2.0,,Manchester United,25,16,5,4,46:20,26,53,46,20,2.12,W,D-D-W-D-W,1,0,23,13
1994-1995,2.0,,Manchester United,26,16,6,4,47:21,26,54,47,21,2.08,D,D-W-D-W-D,1,1,24,13
1994-1995,2.0,,Manchester United,27,17,6,4,48:21,27,57,48,21,2.11,W,W-D-W-D-W,1,0,25,14
1994-1995,2.0,,Manchester United,28,18,6,4,51:21,30,60,51,21,2.14,W,D-W-D-W-W,1,0,26,15
1994-1995,2.0,,Manchester United,29,19,6,4,54:21,33,63,54,21,2.17,W,W-D-W-W-W,1,0,27,16
1994-1995,2.0,,Manchester United,30,20,6,4,56:21,35,66,56,21,2.2,W,D-W-W-W-W,1,0,28,17
1994-1995,2.0,,Manchester United,31,20,6,5,56:22,34,66,56,22,2.13,L,W-W-W-W-L,0,1,28,17
1994-1995,2.0,,Manchester United,32,21,6,5,65:22,43,69,65,22,2.16,W,W-W-W-L-W,1,0,29,18
1994-1995,2.0,,Manchester United,33,22,6,5,66:22,44,72,66,22,2.18,W,W-W-L-W-W,1,0,30,19
1994-1995,2.0,,Manchester United,34,22,7,5,66:22,44,73,66,22,2.15,D,W-L-W-W-D,0,0,30,20
1994-1995,2.0,,Manchester United,35,22,7,6,66:24,42,73,66,24,2.09,L,L-W-W-D-L,0,1,30,20
1994-1995,2.0,,Manchester United,36,22,8,6,66:24,42,74,66,24,2.06,D,W-W-D-L-D,0,0,30,21
1994-1995,2.0,,Manchester United,37,23,8,6,68:25,43,77,68,25,2.08,W,W-D-L-D-W,1,1,31,21
1994-1995,2.0,,Manchester United,38,24,8,6,72:25,47,80,72,25,2.11,W,D-L-D-W-W,1,0,32,22
1994-1995,2.0,,Manchester United,39,24,9,6,72:25,47,81,72,25,2.08,D,L-D-W-W-D,0,0,32,23
1994-1995,2.0,,Manchester United,40,25,9,6,75:27,48,84,75,27,2.1,W,D-W-W-D-W,1,1,33,23
1994-1995,2.0,,Manchester United,41,26,9,6,76:27,49,87,76,27,2.12,W,W-W-D-W-W,1,0,34,24
1994-1995,2.0,,Manchester United,42,26,10,6,77:28,49,88,77,28,2.1,D,W-D-W-W-D,1,1,35,24
1995-1996,19.0,,Manchester United,1,0,0,1,1:3,-2,0,1,3,0.0,L,L,1,1,1,0
1995-1996,10.0,,Manchester United,2,1,0,1,3:4,-1,3,3,4,1.5,W,L-W,1,1,2,0
1995-1996,5.0,,Manchester United,3,2,0,1,6:5,1,6,6,5,2.0,W,L-W-W,1,1,3,0
1995-1996,4.0,,Manchester United,4,3,0,1,8:6,2,9,8,6,2.25,W,L-W-W-W,1,1,4,0
1995-1996,2.0,,Manchester United,5,4,0,1,11:8,3,12,11,8,2.4,W,L-W-W-W-W,1,1,5,0
1995-1996,2.0,,Manchester United,6,5,0,1,14:8,6,15,14,8,2.5,W,W-W-W-W-W,1,0,6,1
1995-1996,2.0,,Manchester United,7,5,1,1,14:8,6,16,14,8,2.29,D,W-W-W-W-D,0,0,6,2
1995-1996,3.0,,Manchester United,8,5,2,1,16:10,6,17,16,10,2.13,D,W-W-W-D-D,1,1,7,2
1995-1996,2.0,,Manchester United,9,6,2,1,17:10,7,20,17,10,2.22,W,W-W-D-D-W,1,0,8,3
1995-1996,2.0,,Manchester United,10,7,2,1,21:11,10,23,21,11,2.3,W,W-D-D-W-W,1,1,9,3
1995-1996,2.0,,Manchester United,11,8,2,1,23:11,12,26,23,11,2.36,W,D-D-W-W-W,1,0,10,4
1995-1996,2.0,,Manchester United,12,8,2,2,23:12,11,26,23,12,2.17,L,D-W-W-W-L,0,1,10,4
1995-1996,2.0,,Manchester United,13,9,2,2,27:13,14,29,27,13,2.23,W,W-W-W-L-W,1,1,11,4
1995-1996,2.0,,Manchester United,14,10,2,2,31:13,18,32,31,13,2.29,W,W-W-L-W-W,1,0,12,5
1995-1996,2.0,,Manchester United,15,10,3,2,32:14,18,33,32,14,2.2,D,W-L-W-W-D,1,1,13,5
1995-1996,2.0,,Manchester United,16,10,4,2,33:15,18,34,33,15,2.13,D,L-W-W-D-D,1,1,14,5
1995-1996,2.0,,Manchester United,17,10,5,2,35:17,18,35,35,17,2.06,D,W-W-D-D-D,1,1,15,5
1995-1996,2.0,,Manchester United,18,10,5,3,35:19,16,35,35,19,1.94,L,W-D-D-D-L,0,1,15,5
1995-1996,2.0,,Manchester United,19,10,5,4,36:22,14,35,36,22,1.84,L,D-D-D-L-L,1,1,16,5
1995-1996,2.0,,Manchester United,20,11,5,4,38:22,16,38,38,22,1.9,W,D-D-L-L-W,1,0,17,6
1995-1996,2.0,,Manchester United,21,12,5,4,40:23,17,41,40,23,1.95,W,D-L-L-W-W,1,1,18,6
1995-1996,3.0,,Manchester United,22,12,5,5,41:27,14,41,41,27,1.86,L,L-L-W-W-L,1,1,19,6
1995-1996,3.0,,Manchester United,23,12,6,5,41:27,14,42,41,27,1.83,D,L-W-W-L-D,0,0,19,7
1995-1996,3.0,,Manchester United,24,13,6,5,42:27,15,45,42,27,1.88,W,W-W-L-D-W,1,0,20,8
1995-1996,2.0,,Manchester United,25,14,6,5,46:29,17,48,46,29,1.92,W,W-L-D-W-W,1,1,21,8
1995-1996,2.0,,Manchester United,26,15,6,5,47:29,18,51,47,29,1.96,W,L-D-W-W-W,1,0,22,9
1995-1996,2.0,,Manchester United,27,16,6,5,49:29,20,54,49,29,2.0,W,D-W-W-W-W,1,0,23,10
1995-1996,2.0,,Manchester United,28,17,6,5,55:29,26,57,55,29,2.04,W,W-W-W-W-W,1,0,24,11
1995-1996,2.0,,Manchester United,29,18,6,5,56:29,27,60,56,29,2.07,W,W-W-W-W-W,1,0,25,12
1995-1996,2.0,,Manchester United,30,19,6,5,57:29,28,63,57,29,2.1,W,W-W-W-W-W,1,0,26,13
1995-1996,2.0,,Manchester United,31,19,7,5,58:30,28,64,58,30,2.06,D,W-W-W-W-D,1,1,27,13
1995-1996,2.0,,Manchester United,32,20,7,5,59:30,29,67,59,30,2.09,W,W-W-W-D-W,1,0,28,14
1995-1996,1.0,,Manchester United,33,21,7,5,60:30,30,70,60,30,2.12,W,W-W-D-W-W,1,0,29,15
1995-1996,1.0,,Manchester United,34,22,7,5,63:32,31,73,63,32,2.15,W,W-D-W-W-W,1,1,30,15
1995-1996,1.0,,Manchester United,35,23,7,5,64:32,32,76,64,32,2.17,W,D-W-W-W-W,1,0,31,16
1995-1996,1.0,,Manchester United,36,23,7,6,65:35,30,76,65,35,2.11,L,W-W-W-W-L,1,1,32,16
1995-1996,1.0,,Manchester United,37,24,7,6,70:35,35,79,70,35,2.14,W,W-W-W-L-W,1,0,33,17
1995-1996,1.0,,Manchester United,38,25,7,6,73:35,38,82,73,35,2.16,W,W-W-L-W-W,1,0,34,18
1996-1997,1.0,,Manchester United,1,1,0,0,3:0,3,3,3,0,3.0,W,W,1,0,1,1
1996-1997,2.0,,Manchester United,2,1,1,0,5:2,3,4,5,2,2.0,D,W-D,1,1,2,1
1996-1997,5.0,,Manchester United,3,1,2,0,7:4,3,5,7,4,1.67,D,W-D-D,1,1,3,1
1996-1997,7.0,,Manchester United,4,1,3,0,8:5,3,6,8,5,1.5,D,W-D-D-D,1,1,4,1
1996-1997,5.0,,Manchester United,5,2,3,0,12:5,7,9,12,5,1.8,W,W-D-D-D-W,1,0,5,2
1996-1997,2.0,,Manchester United,6,3,3,0,16:6,10,12,16,6,2.0,W,D-D-D-W-W,1,1,6,2
1996-1997,4.0,,Manchester United,7,3,4,0,16:6,10,13,16,6,1.86,D,D-D-W-W-D,0,0,6,3
1996-1997,4.0,,Manchester United,8,4,4,0,18:6,12,16,18,6,2.0,W,D-W-W-D-W,1,0,7,4
1996-1997,4.0,,Manchester United,9,5,4,0,19:6,13,19,19,6,2.11,W,W-W-D-W-W,1,0,8,5
1996-1997,5.0,,Manchester United,10,5,4,1,19:11,8,19,19,11,1.9,L,W-D-W-W-L,0,1,8,5
1996-1997,5.0,,Manchester United,11,5,4,2,22:17,5,19,22,17,1.73,L,D-W-W-L-L,1,1,9,5
1996-1997,6.0,,Manchester United,12,5,4,3,23:19,4,19,23,19,1.58,L,W-W-L-L-L,1,1,10,5
1996-1997,6.0,,Manchester United,13,6,4,3,24:19,5,22,24,19,1.69,W,W-L-L-L-W,1,0,11,6
1996-1997,7.0,,Manchester United,14,6,5,3,26:21,5,23,26,21,1.64,D,L-L-L-W-D,1,1,12,6
1996-1997,5.0,,Manchester United,15,7,5,3,29:22,7,26,29,22,1.73,W,L-L-W-D-W,1,1,13,6
1996-1997,5.0,,Manchester United,16,7,6,3,31:24,7,27,31,24,1.69,D,L-W-D-W-D,1,1,14,6
1996-1997,6.0,,Manchester United,17,7,7,3,32:25,7,28,32,25,1.65,D,W-D-W-D-D,1,1,15,6
1996-1997,5.0,,Manchester United,18,8,7,3,37:25,12,31,37,25,1.72,W,D-W-D-D-W,1,0,16,7
1996-1997,4.0,,Manchester United,19,9,7,3,41:25,16,34,41,25,1.79,W,W-D-D-W-W,1,0,17,8
1996-1997,3.0,,Manchester United,20,10,7,3,43:26,17,37,43,26,1.85,W,D-D-W-W-W,1,1,18,8
1996-1997,2.0,,Manchester United,21,11,7,3,44:26,18,40,44,26,1.9,W,D-W-W-W-W,1,0,19,9
1996-1997,3.0,,Manchester United,22,11,8,3,44:26,18,41,44,26,1.86,D,W-W-W-W-D,0,0,19,10
1996-1997,1.0,,Manchester United,23,12,8,3,46:27,19,44,46,27,1.91,W,W-W-W-D-W,1,1,20,10
1996-1997,1.0,,Manchester United,24,13,8,3,48:27,21,47,48,27,1.96,W,W-W-D-W-W,1,0,21,11
1996-1997,1.0,,Manchester United,25,14,8,3,50:28,22,50,50,28,2.0,W,W-D-W-W-W,1,1,22,11
1996-1997,1.0,,Manchester United,26,14,9,3,53:31,22,51,53,31,1.96,D,D-W-W-W-D,1,1,23,11
1996-1997,1.0,,Manchester United,27,14,10,3,54:32,22,52,54,32,1.93,D,W-W-W-D-D,1,1,24,11
1996-1997,1.0,,Manchester United,28,15,10,3,57:33,24,55,57,33,1.96,W,W-W-D-D-W,1,1,25,11
1996-1997,1.0,,Manchester United,29,16,10,3,59:33,26,58,59,33,2.0,W,W-D-D-W-W,1,0,26,12
1996-1997,1.0,,Manchester United,30,17,10,3,61:33,28,61,61,33,2.03,W,D-D-W-W-W,1,0,27,13
1996-1997,1.0,,Manchester United,31,17,10,4,63:36,27,61,63,36,1.97,L,D-W-W-W-L,1,1,28,13
