season,position,,team,played,won,drawn,lost,goals,goal difference,points,goals for,goals against,points per game,last result,form,gf,ga,games scored in,clean sheets
2020-2021,2.0,,Manchester United,33,19,10,4,64:35,29,67,64,35,2.03,D,D-W-W-W-D,0,0,25,13
2020-2021,2.0,,Manchester United,34,19,10,5,66:39,27,67,66,39,1.97,L,W-W-W-D-L,1,1,26,13
2020-2021,2.0,,Manchester United,35,20,10,5,69:40,29,70,69,40,2.0,W,W-W-D-L-W,1,1,27,13
2020-2021,2.0,,Manchester United,36,20,10,6,70:42,28,70,70,42,1.94,L,W-D-L-W-L,1,1,28,13
2020-2021,2.0,,Manchester United,37,20,11,6,71:43,28,71,71,43,1.92,D,D-L-W-L-D,1,1,29,13
2020-2021,2.0,,Manchester United,38,21,11,6,73:44,29,74,73,44,1.95,W,L-W-L-D-W,1,1,30,13
2021-2022,1.0,,Manchester United,1,1,0,0,5:1,4,3,5,1,3.0,W,W,1,1,1,0
2021-2022,6.0,,Manchester United,2,1,1,0,6:2,4,4,6,2,2.0,D,W-D,1,1,2,0
2021-2022,3.0,,Manchester United,3,2,1,0,7:2,5,7,7,2,2.33,W,W-D-W,1,0,3,1
2021-2022,1.0,,Manchester United,4,3,1,0,11:3,8,10,11,3,2.5,W,W-D-W-W,1,1,4,1
2021-2022,3.0,,Manchester United,5,4,1,0,13:4,9,13,13,4,2.6,W,W-D-W-W-W,1,1,5,1
2021-2022,4.0,,Manchester United,6,4,1,1,13:5,8,13,13,5,2.17,L,D-W-W-W-L,0,1,5,1
2021-2022,4.0,,Manchester United,7,4,2,1,14:6,8,14,14,6,2.0,D,W-W-W-L-D,1,1,6,1
2021-2022,6.0,,Manchester United,8,4,2,2,16:10,6,14,16,10,1.75,L,W-W-L-D-L,1,1,7,1
2021-2022,7.0,,Manchester United,9,4,2,3,16:15,1,14,16,15,1.56,L,W-L-D-L-L,0,1,7,1
2021-2022,5.0,,Manchester United,10,5,2,3,19:15,4,17,19,15,1.7,W,L-D-L-L-W,1,0,8,2
2021-2022,6.0,,Manchester United,11,5,2,4,19:17,2,17,19,17,1.55,L,D-L-L-W-L,0,1,8,2
2021-2022,8.0,,Manchester United,12,5,2,5,20:21,-1,17,20,21,1.42,L,L-L-W-L-L,1,1,9,2
2021-2022,8.0,,Manchester United,13,5,3,5,21:22,-1,18,21,22,1.38,D,L-W-L-L-D,1,1,10,2
2021-2022,7.0,,Manchester United,14,6,3,5,24:24,0,21,24,24,1.5,W,W-L-L-D-W,1,1,11,2
2021-2022,6.0,,Manchester United,15,7,3,5,25:24,1,24,25,24,1.6,W,L-L-D-W-W,1,0,12,3
2021-2022,6.0,,Manchester United,16,8,3,5,26:24,2,27,26,24,1.69,W,L-D-W-W-W,1,0,13,4
2021-2022,5.0,,Manchester United,17,9,3,5,29:25,4,30,29,25,1.76,W,D-W-W-W-W,1,1,14,4
2021-2022,4.0,,Manchester United,18,10,3,5,31:25,6,33,31,25,1.83,W,W-W-W-W-W,1,0,15,5
2021-2022,6.0,,Manchester United,19,10,4,5,32:26,6,34,32,26,1.79,D,W-W-W-W-D,1,1,16,5
2021-2022,5.0,,Manchester United,20,11,4,5,35:27,8,37,35,27,1.85,W,W-W-W-D-W,1,1,17,5
2021-2022,7.0,,Manchester United,21,11,4,6,35:28,7,37,35,28,1.76,L,W-W-D-W-L,0,1,17,5
2021-2022,5.0,,Manchester United,22,11,5,6,37:30,7,38,37,30,1.73,D,W-D-W-L-D,1,1,18,5
2021-2022,5.0,,Manchester United,23,12,5,6,38:30,8,41,38,30,1.78,W,D-W-L-D-W,1,0,19,6
2021-2022,4.0,,Manchester United,24,12,6,6,39:31,8,42,39,31,1.75,D,W-L-D-W-D,1,1,20,6
2021-2022,5.0,,Manchester United,25,12,7,6,40:32,8,43,40,32,1.72,D,L-D-W-D-D,1,1,21,6
2021-2022,5.0,,Manchester United,26,13,7,6,44:34,10,46,44,34,1.77,W,D-W-D-D-W,1,1,22,6
2021-2022,6.0,,Manchester United,27,13,8,6,44:34,10,47,44,34,1.74,D,W-D-D-W-D,0,0,22,7
2021-2022,6.0,,Manchester United,28,13,8,7,45:38,7,47,45,38,1.68,L,D-D-W-D-L,1,1,23,7
2021-2022,6.0,,Manchester United,29,14,8,7,48:40,8,50,48,40,1.72,W,D-W-D-L-W,1,1,24,7
2021-2022,6.0,,Manchester United,30,14,8,8,48:44,4,50,48,44,1.67,L,W-D-L-W-L,0,1,24,7
2021-2022,7.0,,Manchester United,31,14,9,8,49:45,4,51,49,45,1.65,D,D-L-W-L-D,1,1,25,7
2021-2022,7.0,,Manchester United,32,14,9,9,49:46,3,51,49,46,1.59,L,L-W-L-D-L,0,1,25,7
2021-2022,6.0,,Manchester United,33,15,9,9,52:48,4,54,52,48,1.64,W,W-L-D-L-W,1,1,26,7
2021-2022,6.0,,Manchester United,34,15,9,10,53:51,2,54,53,51,1.59,L,L-D-L-W-L,1,1,27,7
2021-2022,6.0,,Manchester United,35,16,9,10,56:51,5,57,56,51,1.63,W,D-L-W-L-W,1,0,28,8
2021-2022,6.0,,Manchester United,36,16,9,11,56:55,1,57,56,55,1.58,L,L-W-L-W-L,0,1,28,8
2021-2022,6.0,,Manchester United,37,16,10,11,57:56,1,58,57,56,1.57,D,W-L-W-L-D,1,1,29,8
2021-2022,6.0,,Manchester United,38,16,10,12,57:57,0,58,57,57,1.53,L,L-W-L-D-L,0,1,29,8
2022-2023,13.0,,Manchester United,1,0,0,1,1:2,-1,0,1,2,0.0,L,L,1,1,1,0
2022-2023,20.0,,Manchester United,2,0,0,2,1:6,-5,0,1,6,0.0,L,L-L,0,1,1,0
2022-2023,14.0,,Manchester United,3,1,0,2,3:7,-4,3,3,7,1.0,W,L-L-W,1,1,2,0
2022-2023,8.0,,Manchester United,4,2,0,2,4:7,-3,6,4,7,1.5,W,L-L-W-W,1,0,3,1
2022-2023,5.0,,Manchester United,5,3,0,2,5:7,-2,9,5,7,1.8,W,L-L-W-W-W,1,0,4,2
2022-2023,5.0,,Manchester United,6,4,0,2,8:8,0,12,8,8,2.0,W,L-W-W-W-W,1,1,5,2
2022-2023,5.0,,Manchester United,7,4,1,2,9:9,0,13,9,9,1.86,D,W-W-W-W-D,1,1,6,2
2022-2023,6.0,,Manchester United,8,4,2,2,11:11,0,14,11,11,1.75,D,W-W-W-D-D,1,1,7,2
