FAERSLUNUMER,FASTNUM,HEIMILISFANG,POSTNR,UTGDAG,KAUPVERD,FASTEIGNAMAT,FASTEIGNAMAT_GILDANDI,BYGGAR,EINFLM,FJHERB
570380,2078034,Miðvangur 41,220,2012-09-27,14700,13550,47300,1971,"68,1",1
570381,2071645,Lyngmóar 16,210,2012-09-11,24100,20600,68700,1978,"113,7",2
570382,2279380,Álfkonuhvarf 45,203,2012-08-02,21200,23500,75750,2006,"107,1",2
570383,2268373,Rjúpnasalir 12,201,2012-09-26,26750,22150,75150,2004,"109,3",3
570384,2065264,Smiðjuvegur 6,200,2012-09-26,30000,18830,53050,1975,"207,1",
570385,2216985,Auðbrekka 2,200,2012-09-26,23000,27790,57200,1984,"221,4",
570386,2174758,Haugar 2,701,2012-07-11,500,9930,24300,1971,"128,9",4
570387,2169425,Mýrargata 21,740,2012-09-27,20000,20000,53950,1972,"169,4",5
570388,2169527,Nesbakki 13,740,2012-09-27,13000,9920,26350,1978,"92,4",3
570389,2026092,Reynimelur 72,107,2012-09-24,15500,15100,53550,1967,"59,6",1
570390,2029699,Eskihlíð 6,105,2012-09-06,19000,14600,52650,1956,"59,8",1
570391,2266854,Þórðarsveigur 22,113,2012-09-18,28600,23850,76350,2004,"123,0",3
570392,2254233,Erluás 2,221,2012-09-27,21500,17700,62200,2002,"91,7",2
570393,2176186,Sólvellir 11,700,2012-09-26,16500,12900,42400,1988,"79,7",2
570394,2028820,Fálkagata 3,107,2012-08-28,24000,22100,72900,1966,"90,7",2
570395,2305828,Úlfarsbraut 48,113,2012-09-26,25300,18850,70600,2010,"97,5",2
570396,2270370,Álfkonuhvarf 51,203,2012-09-27,26400,21950,73250,2004,"104,1",3
570397,2306477,Boðaþing 12,203,2012-09-27,34900,25850,82250,2010,"124,3",2
570398,2282919,Helluvað 13,110,2012-07-20,27000,21700,74250,2007,"111,3",3
570399,2047210,Skriðustekkur 1,109,2012-09-15,22500,24000,75050,1968,"104,3",3
570400,2085588,Búagrund 2,116,2012-09-21,28700,26400,77100,1990,"172,0",4
570401,2233496,Vatnsendahlíð 106,311,2012-09-18,8000,9000,28300,1997,"45,0",
570402,2304326,Indriðastaðahlíð 173,311,2012-08-16,2000,1415,2030,    ,"99,6",
570403,2011522,Meðalholt 4,105,2012-09-26,16000,14300,48450,1946,"64,0",2
570404,2222965,Langholtsvegur 144,104,2012-09-27,18500,18100,62450,1947,"77,3",2
570405,2022598,Langholtsvegur 144,104,2012-09-27,24000,24850,81950,1947,"139,8",2
570406,2022942,Gnoðarvogur 60,104,2012-09-26,27200,24050,77150,1960,"111,7",3
570407,2024065,Seilugrandi 5,107,2012-09-03,29000,24900,82700,1986,"111,8",3
570408,2000733,Framnesvegur 8A,101,2012-09-06,26000,28450,90450,1928,"120,5",5
570409,2325146,Áshamar 1A,900,2012-09-20,30019,2060,71350,2011,"168,0",3
570410,2074987,Grænakinn 7,220,2012-09-26,26800,23300,78850,1954,"139,5",4
570411,2078301,Móabarð 34,220,2012-09-28,12400,12450,44400,1984,"63,8",2
570412,2320285,Brekkuás 9,221,2012-09-28,32500,27150,84950,2012,"128,1",3
570413,2075197,Hamarsbraut 9,220,2012-09-26,19000,17450,54500,1921,"85,0",2
570414,2072114,Sjávargrund 15B,210,2012-09-28,23000,19700,74000,1992,"109,2",2
570415,2306194,Brattahlíð 15,270,2012-09-27,55000,32300,150500,2009,"455,8",4
570415,2306196,Brattahlíð 17,270,2012-09-27,55000,9060,153500,    ,"455,8",4
570416,2004089,Ásvallagata 21,101,2012-08-14,28850,22800,72650,1932,"93,0",2
570417,2000848,Framnesvegur 5,101,2012-09-27,9500,8830,33750,1924,"27,9",1
570418,2040105,Flétturimi 14,112,2012-09-27,21900,17400,63100,1991,"89,2",2
570419,2007960,Vitastígur 15,101,2012-09-21,17250,13050,42700,1979,"42,6",1
570420,2041570,Fannafold 104,112,2012-09-27,24800,19500,64100,1988,"100,3",2
570421,2148354,Klettastígur 12,600,2012-09-25,26000,21350,69150,1957,"144,6",3
570423,2323514,Faxastígur 26,900,2012-09-28,18300,9690,32100,1959,"88,6",2
570424,2184886,Suðurgerði 2,900,2012-08-08,25000,17950,67450,1971,"154,2",4
570426,2293684,Norðurbakki 13A,220,2012-09-25,26700,26150,76900,2010,"105,5",2
570427,2065926,Víðigrund 7,200,2012-09-26,43800,28800,106350,1977,"127,9",3
570428,2063640,Kópavogsbraut 103,200,2012-09-28,68700,50450,158650,1989,"301,6",3
570429,2060714,Furugrund 30,200,2012-09-28,17500,15200,52850,1974,"75,8",3
570430,2101236,Krókatún 3,300,2012-08-07,194,25400,86450,1962,"221,2",4
570431,2269971,Kristnibraut 97,113,2012-09-25,21000,16950,56050,2004,"83,7",2
570432,2283724,Rauðavað 1,110,2012-09-21,30900,22550,77700,2005,"118,5",3
570433,2012453,Skipholt 48,105,2012-09-26,32000,27600,87600,1959,"140,7",3
570434,2021241,Goðheimar 4,104,2012-09-26,38500,30750,95200,1960,"157,6",4
570435,2041034,Veghús 5,112,2012-09-27,16200,12950,44550,1989,"60,4",1
570436,2040419,Fífurimi 4,112,2012-09-26,17600,17650,59400,1991,"86,6",2
570437,2067413,Hofgarðar 10,170,2012-09-28,72000,59950,172400,1983,"227,3",4
570439,2182898,Brekastígur 31,900,2012-09-25,20000,17850,56450,1945,"197,9",6
570440,2266946,Garðarsbraut 18,805,2012-09-06,15000,9196,33000,2002,"46,4",
570441,2210892,Vorsabæjarvellir 4,810,2012-10-01,3000,4092,8880,1991,"103,5",
570442,2254790,Bjarkarheiði 13,810,2012-09-27,24500,21200,73650,2002,"136,3",3
570443,2210353,Heiðmörk 8,810,2012-09-28,16400,13900,50150,1984,"82,5",2
570444,2205373,Reykjavegur 6,806,2012-09-25,10600,7375,24400,1980,"50,0",
570445,2241787,Junkaragerði,233,2012-10-01,18000,16110,68350,1930,"166,2",6
570446,2223867,Skeiðarás 10,210,2012-09-21,13000,11160,46250,1986,"185,5",
570447,2214233,Miðholt 6,220,2012-10-02,24300,22900,72600,1992,"127,0",3
570448,2056922,Fjarðarsel 17,109,2012-09-12,34700,39300,118750,1978,"262,2",7
570449,2014515,Háaleitisbraut 44,108,2012-09-26,22200,16800,55050,1963,"78,1",2
570450,2005438,Grettisgata 57A,101,2012-09-27,20700,17850,57650,1935,"68,5",1
570451,2047138,Geitastekkur 7,109,2012-09-26,35500,36450,106750,1973,"169,6",4
570452,2002358,Sólvallagata 37,101,2012-09-27,19000,18750,61050,1937,"68,2",2
570453,2008563,Snorrabraut 56B,105,2012-10-01,19500,19000,57600,1992,"64,0",1
570454,2038484,Leiðhamrar 56,112,2012-09-04,43500,41450,126050,1990,"198,6",4
570455,2083127,Brattholt 3,270,2012-09-27,41900,36800,118150,1987,"191,9",4
570456,2255454,Klapparhlíð 20,270,2012-09-07,31000,25800,83400,2001,"141,4",4
570457,2016145,Kleppsvegur 26,105,2012-09-27,16000,13250,49550,1962,"65,4",1
570458,2225887,Berjarimi 32,112,2012-09-26,16950,14500,50800,1996,"67,0",1
570459,2050795,Vesturberg 8,111,2012-09-27,14000,12400,42000,1970,"63,6",1
570460,2020826,Hlunnavogur 5,104,2012-09-25,35000,27000,89450,1953,"148,7",3
570461,2018825,Kirkjuteigur 5,105,2012-09-27,12700,10900,41400,1942,"41,0",0
570462,2004683,Laugavegur              27B,nan,2012-09-27,25500,15250,nan,1931,"58,1",
570463,2038760,Sporhamrar 12,112,2012-09-28,31900,26250,82150,1990,"153,5",3
570464,2052083,Yrsufell 1,111,2012-09-28,12500,10950,39900,1971,"58,1",1
570465,2048069,Leirubakki 34,109,2012-09-25,26168,18900,60750,1998,"97,1",2
570466,2119378,Engjavegur 27,400,2012-09-25,15300,17600,62700,1959,"218,8",6
570467,2300586,Langalína 2,210,2012-09-28,41000,35800,110350,2008,"151,7",3
570468,2073982,Breiðvangur 28,220,2012-09-28,25300,21150,72000,1974,"134,3",3
570469,2071481,Lyngmóar 1,210,2012-10-01,15700,13950,49100,1982,"62,5",1
570470,2074898,Garðavegur 7,220,2012-09-27,15500,12250,45400,1924,"51,7",2
570471,2236545,Grandatröð 3B,220,2012-09-21,23000,25870,91000,2004,"274,7",
570472,2247035,Sörlaskeið 24,221,2012-09-15,35839,38990,98950,2005,"344,5",
570473,2058608,Ástún 2,200,2012-10-01,17360,13550,51550,1982,"64,0",1
570474,2055650,Seljabraut 24,109,2012-09-13,19861,17850,58050,1976,"126,1",3
570475,2258667,Naustabryggja 7,110,2012-09-28,22000,18000,63650,2002,"87,3",2
570476,2053931,Árskógar 6,109,2012-09-28,33000,26500,71150,1992,"94,8",2
570477,2017648,Dragavegur 5,104,2012-09-28,23500,22650,76950,1983,"97,5",1
570478,2055654,Seljabraut 24,109,2012-09-27,31500,29450,86100,1976,"197,9",5
570479,2132047,Raftahlíð 52,550,2012-10-02,25400,18300,59800,1979,"168,2",4
570480,2292857,Krókahraun 6,851,2012-09-28,13000,4600,28800,2006,"63,8",
570481,2166985,Hólssel lóð,660,2012-06-30,5505,5487,42257,1939,"288,6",6
570482,2031203,Blönduhlíð 27,105,2012-09-28,23000,18150,62850,1950,"86,0",3
570483,2213083,Stararimi 27,112,2012-09-27,44000,40350,136450,1994,"176,4",3
570484,2002415,Ásvallagata 48,101,2012-09-27,40500,18150,58100,1930,"172,3",2
570484,2002414,Ásvallagata 48,101,2012-09-27,40500,24800,73900,1930,"172,3",2
570485,2008769,Leifsgata 21,101,2012-09-28,18100,15250,48500,1934,"55,7",1
570486,2008486,Barónsstígur 41,101,2012-09-27,22600,17700,57250,1932,"75,1",1
570487,2054553,Teigasel 3,109,2012-09-21,12000,12700,42350,1975,"64,7",1
570488,2016546,Laugarnesvegur 78,105,2012-09-28,21900,15100,55750,1959,"70,5",1
570489,2244785,Víðiás 2,210,2012-10-01,63000,54300,157550,2002,"192,4",2
570490,2047971,Maríubakki 20,109,2012-09-28,17700,15850,55150,1972,"94,8",3
570491,2031863,Hvassaleiti 38,103,2012-09-27,37500,39950,114200,1962,"205,8",3
570492,2260623,Þórðarsveigur 6,113,2012-10-02,17500,15800,53900,2003,"74,4",1
570493,2182555,Áshamar 67,900,2012-08-31,15000,9690,33800,1980,"85,2",2
570494,2290168,Hjálmakur 6,210,2012-08-29,103000,57800,246700,2006,"293,0",5
570495,2021894,Glaðheimar 24,104,2012-09-28,35099,31150,97500,1960,"169,0",4
570496,2075042,Gunnarssund 6,220,2012-09-25,16450,12200,45500,1910,"69,6",4
570497,2075043,Gunnarssund 6,220,2012-09-25,15550,11900,44100,1910,"58,3",3
570498,2074915,Garðavegur 15,220,2012-09-17,22500,19500,69750,1945,"111,6",3
570499,2283788,Efstasund 35,104,2012-10-02,22700,20000,57900,2006,"69,3",1
570500,2115238,Smiðjustígur 3,350,2012-08-30,21700,18000,36850,1994,"130,6",2
570501,2115237,Smiðjustígur 2,350,2012-09-11,22058,17950,36400,1993,"125,2",3
570502,2269249,Daggarvellir 1,221,2012-10-02,27297,22650,73450,2004,"121,2",3
570503,2071327,Lindarflöt 9,210,2012-10-03,52000,41600,135650,1968,"185,7",5
570504,2027527,Birkimelur 10B,107,2012-09-25,24500,20200,73800,1958,"98,3",2
570505,2037369,Hörðaland 2,108,2012-09-28,15400,14350,51450,1968,"54,0",1
570506,2080950,Öldutún 14,220,2012-10-04,22429,22650,71400,1964,"138,9",5
570507,2126447,Grundarstígur 12,425,2012-08-31,4451,3990,16500,1903,"81,4",3
570508,2008025,Njálsgata 59,101,2012-09-25,24900,23250,72650,1960,"102,7",3
570509,2060352,Fannborg 1,200,2012-10-02,200000,9240,35850,1978,"918,1",0
570509,2060360,Fannborg 1,200,2012-10-02,200000,9490,36450,1978,"918,1",1
570509,2060361,Fannborg 1,200,2012-10-02,200000,10900,40400,1978,"918,1",1
570509,2060372,Fannborg 1,200,2012-10-02,200000,9730,36450,1978,"918,1",0
570509,2299168,Fannborg 1,200,2012-10-02,200000,12650,46500,1978,"918,1",1
570509,2060359,Fannborg 1,200,2012-10-02,200000,11400,42000,1978,"918,1",1
570509,2060358,Fannborg 1,200,2012-10-02,200000,9830,37400,1978,"918,1",0
570509,2060350,Fannborg 1,200,2012-10-02,200000,9290,36300,1978,"918,1",1
570509,2299167,Fannborg 1,200,2012-10-02,200000,13850,50150,1978,"918,1",1
570509,2060364,Fannborg 1,200,2012-10-02,200000,11500,42100,1978,"918,1",1
570509,2060341,Fannborg 1,200,2012-10-02,200000,13450,48850,1978,"918,1",1
570509,2060354,Fannborg 1,200,2012-10-02,200000,11250,41800,1978,"918,1",1
570509,2060353,Fannborg 1,200,2012-10-02,200000,9710,37300,1978,"918,1",0
570509,2060368,Fannborg 1,200,2012-10-02,200000,10000,37450,1978,"918,1",0
570509,2060370,Fannborg 1,200,2012-10-02,200000,9650,36450,1978,"918,1",1
570509,2060373,Fannborg 1,200,2012-10-02,200000,10300,38800,1978,"918,1",0
570509,2060371,Fannborg 1,200,2012-10-02,200000,11200,40700,1978,"918,1",1
570509,2060363,Fannborg 1,200,2012-10-02,200000,9970,37600,1978,"918,1",0
570509,2060362,Fannborg 1,200,2012-10-02,200000,9490,36850,1978,"918,1",0
570509,2312494,Fannborg 1,200,2012-10-02,200000,8945,23530,1978,"918,1",
570510,2268740,Álfkonuhvarf 41,203,2012-10-02,28500,23700,77550,2005,"111,6",3
570511,2022892,Ferjuvogur 21,104,2012-09-25,22500,18650,64500,1949,"92,4",2
570512,2260617,Þórðarsveigur 6,113,2012-10-02,21900,17500,59950,2003,"88,1",2
570513,2100804,Vallarbraut 17,300,2012-10-03,12057,12350,38250,1978,"72,4",2
570514,2166844,Bakkagata 11,670,2011-11-25,10000,36485,72780,1987,"1127,5",
570515,2022370,Gnoðarvogur 16,104,2012-09-28,18000,15750,54250,1959,"73,7",2
570516,2031072,Grænahlíð 9,105,2012-10-01,33800,26400,87050,1960,"120,5",3
570517,2278090,Berugata 14,310,2012-10-01,18300,14850,46700,1977,"132,5",2
570518,2034561,Grundargerði 10,108,2012-09-13,22500,21650,74100,1963,"120,7",2
570519,2184129,Höfðavegur 3,900,2012-09-27,35000,25900,79100,1955,"329,8",4
570520,2270886,Tröllateigur 24,270,2012-10-02,26500,22350,73300,2004,"117,7",2
570521,2052086,Yrsufell 1,111,2012-09-26,15900,13550,46200,1971,"78,0",2
570522,2315669,Litla Þúfa 1,276,2012-10-02,33500,15280,57650,2008,"93,6",2
570523,2023876,Seilugrandi 4,107,2012-10-01,17100,16200,60400,1981,"96,9",1
570524,2064851,Skálaheiði 7,200,2012-10-02,24500,20000,65900,1957,"96,4",3
570525,2306113,Tröllakór 13-15,203,2012-09-14,64100,7800,58400,2012,"243,5",1
570525,2306119,Tröllakór 13-15,203,2012-09-14,64100,7820,58650,2012,"243,5",1
570525,2323784,Tröllakór 13-15,203,2012-09-14,64100,7740,57850,2012,"243,5",1
570526,2052752,Nönnufell 3,111,2012-09-17,16000,14150,47450,1974,"83,4",2
570527,2289914,Sunnutröð 7,605,2012-10-03,25590,26900,73200,2007,"166,0",4
570528,2322353,Goðanes 4,603,2012-03-26,11463,5724,29750,2012,"91,7",
570529,2160968,Miðgarðar 14,610,2012-10-02,14600,10250,38450,1992,"102,2",3
570530,2195222,Bolholt 1  lóð,851,2012-10-01,4000,12500,41250,1969,"124,8",5
570531,2216703,Markarland 8b,765,2012-09-19,7300,5610,26150,1992,"89,0",3
570532,2273074,Sóleyjarimi 51,112,2012-10-02,48000,39900,126700,2005,"191,9",3
570533,2303686,Lundur 88,200,2012-10-03,34500,13150,100900,2011,"113,8",2
570534,2082815,Asparteigur 2,270,2012-10-02,42500,39950,122300,1973,"237,4",4
570535,2031032,Stigahlíð 30,105,2012-10-01,20200,16750,60650,1962,"83,7",3
570536,2105604,Skólastígur 1,301,2012-10-04,7000,19250,45300,1970,"260,5",4
570537,2111457,Höfðaholt 8,310,2012-10-05,26000,22550,68100,1978,"185,3",4
570538,2293637,Norðurbakki 11A,220,2012-09-27,29000,28750,83450,2009,"119,3",2
570539,2247464,Naustabryggja 54-56,110,2012-10-02,18530,14700,49900,2000,"66,8",1
570540,2119691,Hafraholt 26,400,2012-10-04,19500,16750,55900,1979,"166,3",4
570541,2188742,Suðurvíkurvegur 1,870,2012-10-03,22100,10730,38800,1902,"289,7",
570542,2012860,Flókagata 61,105,2012-09-07,37900,26850,90400,1951,"115,9",3
570543,2187321,Stekkholt 26,800,2012-09-18,23200,25350,85050,1972,"206,8",5
570544,2089553,Kirkjuvegur 1,230,2012-10-02,14500,12850,43450,1991,"77,6",2
570545,2080745,Öldugata 16,220,2012-10-05,38000,48850,143400,1952,"260,6",4
570546,2275988,Birkiholt 14,225,2012-10-08,39000,35550,118050,2004,"181,7",3
570547,2073738,Brattakinn 30,220,2012-10-04,23000,20250,71250,1957,"105,3",2
570548,2235706,Bæjarlind 14-16,201,2012-08-14,17000,15740,32150,1999,"115,1",
570549,2236465,Blásalir 11,201,2012-10-05,38000,28400,92600,1999,"156,9",2
570550,2063862,Lindarhvammur 7,200,2012-10-04,51000,50700,146500,1953,"278,4",5
570551,2225913,Jötnaborgir 9,112,2012-10-02,42000,36950,121800,1996,"211,5",3
570552,2067087,Barðaströnd 33,170,2012-10-02,55000,45700,137850,1966,"195,4",3
570553,2277496,Klapparhlíð 3,270,2012-10-03,23800,20150,66050,2005,"90,7",1
570554,2274780,Móhella 4C,221,2012-10-05,2500,2123,10500,2004,"26,3",
570555,2072716,Álfaberg 12,221,2012-10-05,43000,38000,120250,1984,"191,1",4
570556,2248946,Kríuás 19,221,2012-10-05,25000,20950,69700,2002,"109,2",3
570557,2300570,Langalína 2,210,2012-10-05,36500,36700,111150,2008,"156,8",3
570558,2064489,Grænatún 20B,200,2012-10-05,25000,26550,104500,1960,"106,4",3
570559,2236523,Glósalir 10,201,2012-10-05,50000,51950,156000,2001,"243,9",4
570560,2158268,Skógarhlíð 18,604,2012-10-04,13200,11600,38250,1986,"81,6",1
570561,2150825,Steinahlíð 5C,603,2012-09-28,24900,22150,66200,1977,"149,2",3
570562,2034553,Grundargerði 2,108,2012-10-01,49500,38550,117600,1957,"206,5",4
570563,2275334,Herjólfsgata 38,220,2012-10-05,23500,17450,65350,2005,"73,6",1
570564,2274494,17. Júnítorg 3,210,2012-09-27,15800,16750,54750,2006,"65,1",0
570565,2244594,Birkiás 12,210,2012-10-04,50900,38850,121850,2000,"161,3",4
570566,2294677,Drekavellir 48,221,2012-10-02,16000,30100,114550,2012,"188,7",3
570567,2244519,Ögurás 1,210,2012-10-03,32500,25200,82450,2000,"117,0",3
570568,2271289,Sóleyjarimi 11,112,2012-09-28,27500,23200,75900,2004,"109,1",2
570569,2049213,Arahólar 4,111,2012-10-02,21300,18200,60650,1973,"102,7",3
570570,2022450,Gnoðarvogur 34,104,2012-10-02,17000,13900,48750,1958,"62,4",1
570571,2037837,Kvistaland 18,108,2012-10-02,94000,70250,227150,1973,"238,5",4
570572,2036721,Efstaland 20,108,2012-09-12,22400,19150,65000,1968,"79,4",3
570573,2100155,Ægisbraut 19,300,2012-09-28,12700,9820,39150,1974,"209,2",
570574,2109839,Sleggjulækjarland,311,2012-09-27,120000,3911,17700,1981,"40,0",
570575,2199665,Heiðarbrún 20,825,2012-10-01,23500,24200,65350,1977,"197,1",4
570577,2106120,Engjavegur 3,311,2012-10-08,3500,2208,4660,1987,"130,0",
570580,2284385,Guðnýjarbraut 4,260,2012-09-27,24000,30850,97050,2006,"198,0",4
570581,2069438,Breiðás 2,210,2012-10-08,33000,29250,91450,1965,"161,7",4
570582,2246182,Lónsbraut 2,220,2012-10-03,15500,14510,55150,2000,"145,0",
570583,2060399,Fannborg 5,200,2012-10-08,17800,18600,64850,1978,"100,1",3
570584,2299516,Mánatún 5,105,2012-10-03,47000,37750,104900,2010,"142,5",2
570585,2267187,Strandvegur 5,210,2012-09-09,51000,32250,106200,2006,"148,2",2
570586,2245788,Skeiðarás 12,210,2012-10-02,16900,11865,39900,1999,"108,1",
570587,2074006,Breiðvangur 33,220,2012-10-08,39800,32050,108100,1973,"170,3",4
570588,2264327,Birkiholt 3,225,2012-10-05,17800,15100,56000,2003,"76,3",1
570589,2282177,Klettakór 1B,203,2012-10-05,28500,22800,74350,2007,"107,9",2
570590,2010597,Ásholt 2,105,2012-09-26,39000,27800,91600,1990,"161,5",3
570592,2151545,Vanabyggð 15,600,2012-10-05,26631,20450,67350,1960,"160,2",4
570593,2286015,Norðurtröð 22,800,2012-09-25,2200,3650,8100,1977,"73,5",
570594,2012822,Háteigsvegur 48,105,2012-10-03,15800,14700,53700,1964,"51,8",1
570595,2131283,Birkihlíð 37,550,2012-10-08,24000,22000,64250,1971,"159,5",3
570596,2047766,Grýtubakki 28,109,2012-10-03,15000,16300,57600,1968,"102,4",3
570597,2014593,Safamýri 85,108,2012-10-03,18500,12500,47650,1961,"60,5",1
570598,2049218,Arahólar 4,111,2012-10-03,20800,18700,60000,1973,"103,3",3
570599,2013350,Bólstaðarhlíð 58,105,2012-09-26,26800,23250,77500,1963,"136,9",3
570600,2003165,Skúlagata 10,101,2012-10-04,35700,30650,88250,1992,"117,4",2
570601,2216258,Laufengi 6,112,2012-10-04,21900,18150,61950,1994,"93,2",3
570602,2051986,Þórufell 2,111,2012-10-04,16853,13000,45700,1971,"78,0",2
570603,2244875,Barðastaðir 7,112,2012-10-04,23550,21150,65450,2000,"100,0",2
570604,2100448,Vogabraut 16,300,2012-10-09,28300,21900,73800,1963,"181,1",4
570605,2105558,Ölver 18,301,2012-10-04,4516,3165,23100,1978,"52,9",
570606,2273948,Hrísmóar 13,320,2012-10-04,4700,6649,38100,2004,"67,4",
570607,2312921,Melhólar 9,800,2012-09-25,9700,8850,52050,2012,"77,2",2
570608,2092023,Leynisbraut 9,240,2012-10-10,26500,21200,69350,1972,"167,1",4
570609,2121541,Móholt 8,415,2012-09-05,17000,8200,37500,1979,"140,6",3
570610,2304244,Dalsás 8B,221,2012-10-09,26200,10800,72300,2012,"102,6",2
570611,2293682,Norðurbakki 13A,220,2012-10-04,26200,27450,80050,2010,"107,9",2
570612,2033858,Brekkugerði 20,108,2012-10-04,10000,30400,95550,1966,"164,3",2
570613,2049905,Spóahólar 20,111,2012-10-05,16500,14850,49600,1978,"79,9",2
570614,2076712,Hlíðarþúfur 300,221,2012-09-28,6900,2054,3939,1981,"68,1",
570615,2043624,Álakvísl 124-136,110,2012-09-21,27400,22800,74900,1987,"115,1",3
570616,2040924,Veghús 27,112,2012-09-20,29000,25300,76850,1989,"140,3",4
570617,2010826,Rauðarárstígur 26,105,2012-10-04,20900,19850,66750,1943,"90,2",2
570618,2052167,Yrsufell 32,111,2012-10-04,29400,28850,82800,1974,"157,3",4
570619,2236866,Snægil 34,603,2012-10-09,21007,14550,50100,1999,"90,0",2
570620,2052463,Gyðufell 6,111,2012-09-26,11700,11700,41100,1973,"68,9",1
570621,2016165,Kleppsvegur 30,105,2012-10-04,14700,11150,42500,1962,"50,0",1
570622,2037277,Árland 4,108,2012-10-02,77000,85400,247900,1969,"314,8",0
570623,2319845,Hlíð 12A,276,2012-10-02,16000,10146,35400,2009,"70,2",
570624,2072887,Álfaskeið 72,220,2012-10-09,13800,13400,50150,1965,"80,9",1
570625,2007049,Bergstaðastræti 33B,101,2012-10-03,43000,23800,72800,1914,"142,0",1
570625,2007048,Bergstaðastræti 33B,101,2012-10-03,43000,10750,36350,1914,"142,0",1
570626,2016452,Laugarnesvegur 92,105,2012-10-05,21200,17900,65100,1958,"83,2",2
570627,2013509,Langahlíð 25,105,2012-09-28,24300,19450,70900,1948,"102,0",1
570628,2074699,Fagrakinn 24,220,2012-10-09,33000,32150,107300,1961,"178,5",4
570629,2035247,Hólmgarður 34,108,2012-10-02,58000,4740,79350,1961,"317,7",2
570629,2035245,Hólmgarður 34,108,2012-10-02,58000,9780,74650,1957,"317,7",2
570629,2035244,Hólmgarður 34,108,2012-10-02,58000,14860,82500,1957,"317,7",3
570629,2035239,Hólmgarður 34D,108,2012-10-02,58000,17640,32900,1957,"317,7",
570630,2315819,Brekkustígur 42,260,2012-09-06,13900,5565,19450,1961,"289,4",
570630,2315820,Brekkustígur 42,260,2012-09-06,13900,5565,34100,1961,"289,4",
570631,2088478,Heiðarból 10,230,2012-10-04,10000,7970,29600,1980,"50,1",1
570632,2148952,Lækjargata 7,600,2012-10-11,10000,11950,43050,1900,"99,8",2
570633,2070549,Holtsbúð 35,210,2012-09-26,45000,43400,135200,1973,"212,2",4
570634,2233877,Vatnsstígur 3,101,2012-10-05,32000,21200,67050,1919,"94,3",1
570635,2080493,Vesturvangur 9,220,2012-10-10,43210,38950,126100,1975,"193,0",5
570636,2061427,Hamraborg 5,200,2012-10-10,8239,10340,36450,1966,"74,9",
570637,2302452,Brekkuás 3,221,2012-10-04,20000,18300,60500,2008,"86,9",1
570638,2068066,Nesvegur 125,170,2012-10-03,54500,41350,120550,1960,"216,3",3
570639,2245509,Eyravegur 27,800,2012-10-06,10000,16300,49900,1982,"108,5",3
570640,2303417,Boðaþing 4,203,2012-10-09,27000,22450,73700,2007,"100,5",2
570641,2303560,Lundur 86,200,2012-10-09,34000,12200,94100,2012,"105,7",2
570642,2262514,Burknavellir 17C,221,2012-10-10,24176,19400,68000,2003,"109,9",3
570643,2254235,Erluás 2,221,2012-10-10,18300,15550,53950,2002,"73,5",1
570644,2252389,Nýbýlavegur 62,200,2012-10-09,17100,14550,46300,2002,"55,1",1
570645,2066243,Þinghólsbraut 22,200,2012-10-09,25000,43400,136700,1969,"220,8",4
570646,2052026,Þórufell 10,111,2012-09-25,14619,13250,45950,1971,"77,8",2
570647,2018980,Hraunteigur 30,105,2012-10-02,17900,16300,59350,1946,"79,8",2
570648,2284438,Sóltún 18,105,2012-10-05,28000,25900,77550,2006,"94,6",1
570649,2062209,Hlíðarvegur 29,200,2012-10-09,25900,5725,68550,1956,"271,0",3
570649,2062208,Hlíðarvegur 29,200,2012-10-09,25900,33290,45650,1956,"271,0",1
570650,2041983,Frostafold 6,112,2012-10-08,21200,18200,63050,1987,"90,4",2
570651,2041298,Sveighús 7,112,2012-10-01,14000,46850,139700,1990,"212,6",3
570652,2322361,Goðanes 4,603,2012-10-11,10500,4941,25850,2012,"78,4",
570653,2005487,Laugavegur 82,101,2012-10-02,25450,24050,71650,1935,"102,8",0
570654,2019397,Laugateigur 34,105,2012-10-08,12000,10950,41300,1946,"47,9",1
570655,2001201,Sólvallagata 66,101,2012-10-05,18700,16050,55950,1938,"70,1",1
570656,2011440,Háteigsvegur 2,105,2012-10-05,33000,31800,91200,1945,"111,3",3
570657,2031133,Drápuhlíð 28,105,2012-10-05,34900,24150,81450,1948,"110,2",2
570658,2015030,Háaleitisbraut 81,108,2012-10-08,44500,31700,102000,1966,"150,0",3
570659,2030552,Eskihlíð 26,105,2012-10-08,23000,18450,64100,1977,"81,7",2
570660,2017868,Kambsvegur 20,104,2012-10-05,20600,17500,58050,1961,"83,4",2
570661,2077807,Mávahraun 27,220,2012-08-17,36000,34150,114400,1966,"165,6",3
570662,2277173,Hofakur 3,210,2012-10-11,36700,27650,100050,2006,"140,6",3
570663,2052872,Unufell 48,111,2012-10-08,18900,16250,56400,1972,"99,8",3
570664,2030220,Drápuhlíð 7,105,2012-08-31,31250,27750,90600,1947,"136,5",2
570665,2022672,Karfavogur 25,104,2012-08-31,47300,14900,51200,1950,"224,7",1
570665,2022673,Karfavogur 25,104,2012-08-31,47300,30250,102850,1950,"224,7",6
570666,2024010,Rekagrandi 6,107,2012-10-05,25000,20850,75050,1983,"94,8",2
570667,2246166,Hólmatún 37,225,2012-10-12,47500,43150,130350,2000,"208,8",4
570668,2025009,Boðagrandi 1,107,2012-10-05,17250,14100,50550,1981,"57,6",1
