FAERSLUNUMER,FASTNUM,HEIMILISFANG,POSTNR,UTGDAG,KAUPVERD,FASTEIGNAMAT,FASTEIGNAMAT_GILDANDI,BYGGAR,EINFLM,FJHERB
606665,2075695,Hjallahraun 2,220,2016-05-04,42000,12900,68450,1991,"199,2",
606666,2144882,Áshlíð 17,603,2016-05-12,32700,32550,71500,1966,"204,5",5
606667,2148560,Langahlíð 9A,603,2016-05-12,21000,16650,45000,1967,"94,6",3
606668,2176063,Miðvangur 22,700,2016-05-12,10000,8250,26050,1989,"51,5",1
606669,2280634,Hrafnhólar 1,800,2016-05-10,32000,24450,71600,2005,"132,5",2
606670,2281355,Suðurhof 7,845,2016-04-28,18700,21200,56750,2004,"136,2",3
606672,2196090,Hraunalda 1,850,2016-05-12,22000,21200,56300,1982,"178,1",4
606673,2090170,Norðurtún 8,230,2016-05-03,14700,18100,34750,1927,"142,8",3
606674,2087343,Elliðavellir 17,230,2016-05-12,30300,23750,69900,1973,"151,3",3
606675,2300336,Breiðhóll 24,245,2016-04-18,13500,15200,72200,2007,"180,5",4
606676,2033129,Sléttuvegur 11,103,2016-05-04,29550,32400,45700,1991,"84,8",2
606677,2052913,Torfufell 25,111,2016-05-03,21000,17800,47050,1972,"80,8",1
606678,2060195,Engjasmári 9,201,2016-05-03,53000,42500,111250,1993,"147,8",2
606679,2226242,Snægil 15,603,2016-05-12,23200,17800,44750,1995,"78,5",2
606680,2151145,Sunnuhlíð 21,603,2016-04-22,14600,11400,29550,1980,"54,3",1
606681,2261688,Hólagata 1A,190,2016-04-21,35000,26300,84250,2005,"177,8",4
606682,2096302,Akurgerði 14,190,2016-05-10,27100,25150,81000,1978,"200,4",4
606683,2042631,Hverafold 27,112,2016-05-06,29400,24100,61550,1985,"87,8",2
606684,2260579,Þórðarsveigur 2,113,2016-05-04,29500,25500,60800,2003,"84,3",2
606685,2306202,Stórikriki 59,270,2016-05-02,8000,16950,29000,    ,"418,4",5
606686,2060944,Furugrund 73,200,2016-05-06,34800,27200,68300,1979,"96,1",3
606687,2285136,Þrastarhöfði 43,270,2016-05-06,64800,52600,124400,2006,"184,7",3
606688,2072507,Vesturhraun 5,210,2016-04-28,440000,288350,1137850,1989,"1944,0",
606689,2271628,Sóleyjarimi 1,112,2016-05-06,36500,30150,71650,2005,"101,0",2
606690,2272948,Tröllateigur 13,270,2016-05-09,49000,39050,98050,2004,"160,2",3
606691,2066333,Þinghólsbraut 55,200,2016-04-19,38000,29300,72600,1952,"105,9",2
606692,2254525,Kríuás 47,221,2016-04-29,30500,26700,65300,2002,"98,3",3
606693,2311204,Laugarhvammur lóð 11a,561,2016-05-11,13500,12600,3220,2007,"70,7",
606694,2039653,Viðarrimi 21,112,2016-05-06,53500,45350,119850,1994,"173,2",3
606696,2251857,Ástjörn 7,800,2016-05-11,16800,14800,39450,2001,"69,3",2
606697,2219446,Brúnavegur 5,805,2016-05-10,23800,21630,47650,1994,"76,6",
606698,2214622,Laufrimi 4,112,2016-03-11,29000,25900,63850,1994,"95,7",3
